
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    127.0.0.1:1542         127.0.0.1:1543         ESTABLISHED
  TCP    127.0.0.1:1543         127.0.0.1:1542         ESTABLISHED
  TCP    127.0.0.1:1549         127.0.0.1:1550         ESTABLISHED
  TCP    127.0.0.1:1550         127.0.0.1:1549         ESTABLISHED
  TCP    127.0.0.1:1587         127.0.0.1:1588         ESTABLISHED
  TCP    127.0.0.1:1588         127.0.0.1:1587         ESTABLISHED
  TCP    127.0.0.1:1664         127.0.0.1:1665         ESTABLISHED
  TCP    127.0.0.1:1665         127.0.0.1:1664         ESTABLISHED
  TCP    127.0.0.1:10676        127.0.0.1:10677        ESTABLISHED
  TCP    127.0.0.1:10677        127.0.0.1:10676        ESTABLISHED
  TCP    192.168.1.104:8607     52.242.211.89:443      ESTABLISHED
  TCP    192.168.1.104:8642     172.217.12.42:443      ESTABLISHED
  TCP    192.168.1.104:8857     104.19.241.83:443      ESTABLISHED
  TCP    192.168.1.119:10601    172.217.9.10:443       CLOSE_WAIT
  TCP    192.168.1.119:11233    64.38.207.73:443       ESTABLISHED
  TCP    192.168.1.119:11256    142.250.30.188:5228    ESTABLISHED
  TCP    192.168.1.119:11257    104.18.100.40:443      ESTABLISHED
  TCP    192.168.1.119:11259    162.247.242.20:443     ESTABLISHED
  TCP    192.168.1.119:11271    104.16.94.42:443       ESTABLISHED
  TCP    192.168.1.119:11524    172.217.6.174:443      TIME_WAIT
  TCP    192.168.1.119:11533    172.217.6.174:443      TIME_WAIT
  TCP    192.168.1.119:11542    23.222.29.46:443       CLOSE_WAIT
  TCP    192.168.1.119:11547    72.21.81.200:443       CLOSE_WAIT
  TCP    192.168.1.119:11582    64.4.54.254:443        ESTABLISHED
  TCP    192.168.1.119:11587    54.88.194.72:443       ESTABLISHED
  TCP    192.168.1.119:11588    34.236.77.225:443      ESTABLISHED
