
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        156 K
Registry                       168 Services                   0     88,892 K
smss.exe                       548 Services                   0      1,060 K
csrss.exe                      904 Services                   0      5,240 K
wininit.exe                    132 Services                   0      5,628 K
csrss.exe                      140 Console                    1      5,244 K
services.exe                   816 Services                   0     10,092 K
lsass.exe                      928 Services                   0     16,252 K
winlogon.exe                  1092 Console                    1     10,064 K
svchost.exe                   1208 Services                   0      3,592 K
svchost.exe                   1232 Services                   0     27,140 K
fontdrvhost.exe               1240 Services                   0      2,152 K
fontdrvhost.exe               1248 Console                    1      8,016 K
svchost.exe                   1348 Services                   0     14,264 K
svchost.exe                   1396 Services                   0      7,308 K
svchost.exe                   1568 Services                   0      8,776 K
svchost.exe                   1612 Services                   0      8,000 K
svchost.exe                   1688 Services                   0      6,300 K
svchost.exe                   1696 Services                   0      6,788 K
svchost.exe                   1800 Services                   0     14,224 K
svchost.exe                   1836 Services                   0      8,048 K
svchost.exe                   1932 Services                   0      7,528 K
dwm.exe                       1972 Console                    1     55,672 K
igfxCUIService.exe             852 Services                   0      6,788 K
svchost.exe                   1368 Services                   0      8,112 K
svchost.exe                   2072 Services                   0     10,196 K
svchost.exe                   2116 Services                   0     12,764 K
svchost.exe                   2176 Services                   0      5,316 K
svchost.exe                   2248 Services                   0      8,688 K
svchost.exe                   2280 Services                   0      7,816 K
svchost.exe                   2360 Services                   0      7,076 K
svchost.exe                   2372 Services                   0      5,508 K
svchost.exe                   2480 Services                   0     12,036 K
svchost.exe                   2516 Services                   0      7,636 K
svchost.exe                   2636 Services                   0      8,008 K
svchost.exe                   2764 Services                   0      9,168 K
svchost.exe                   2788 Services                   0     13,592 K
svchost.exe                   2916 Services                   0      6,728 K
NetworkCap.exe                2940 Services                   0      8,384 K
SysInfoCap.exe                2948 Services                   0     12,216 K
TouchpointAnalyticsClient     3060 Services                   0     52,152 K
svchost.exe                   3100 Services                   0     11,896 K
AppHelperCap.exe              3140 Services                   0      5,196 K
svchost.exe                   3348 Services                   0     17,896 K
NVDisplay.Container.exe       3572 Services                   0     15,652 K
atiesrxx.exe                  3616 Services                   0      5,212 K
NVDisplay.Container.exe       3784 Console                    1     43,328 K
svchost.exe                   3948 Services                   0      5,152 K
svchost.exe                   3944 Services                   0    107,816 K
wsc_proxy.exe                 3960 Services                   0      9,608 K
Memory Compression            4016 Services                   0     94,268 K
WmiPrvSE.exe                  4056 Services                   0      8,668 K
atieclxx.exe                  3204 Console                    1      8,732 K
svchost.exe                   3924 Services                   0      6,616 K
svchost.exe                   4100 Services                   0      6,988 K
svchost.exe                   4240 Services                   0     12,336 K
svchost.exe                   4400 Services                   0      5,760 K
svchost.exe                   4408 Services                   0      8,860 K
svchost.exe                   4568 Services                   0     15,916 K
svchost.exe                   4596 Services                   0      9,784 K
AvastSvc.exe                  4604 Services                   0    188,788 K
AsusOptimization.exe          4720 Services                   0      5,492 K
wlanext.exe                   4992 Services                   0      6,828 K
conhost.exe                   5000 Services                   0      4,480 K
spoolsv.exe                   4592 Services                   0     11,368 K
svchost.exe                   3548 Services                   0     16,200 K
svchost.exe                   5168 Services                   0      6,528 K
agent_ovpnconnect_1559309     5352 Services                   0      5,744 K
ArmouryCrateControlInterf     5376 Services                   0      6,272 K
svchost.exe                   5388 Services                   0      4,908 K
AsusLinkRemote.exe            5396 Services                   0      7,476 K
AsusSystemDiagnosis.exe       5404 Services                   0      4,508 K
mDNSResponder.exe             5416 Services                   0      6,140 K
Htc.Identity.Service.exe      5424 Services                   0     14,900 K
SECOMN64.exe                  5444 Services                   0      7,456 K
svchost.exe                   5452 Services                   0     33,704 K
svchost.exe                   5460 Services                   0     25,024 K
AsusSystemAnalysis.exe        5468 Services                   0     12,024 K
svchost.exe                   5476 Services                   0      6,624 K
svchost.exe                   5484 Services                   0     14,116 K
svchost.exe                   5492 Services                   0     15,236 K
svchost.exe                   5500 Services                   0      7,116 K
OneApp.IGCC.WinService.ex     5508 Services                   0     26,952 K
